county,station,avg_temp
Cork,CORK AIRPORT,9.878485619601138
Mayo,CLAREMORRIS,9.46685055961528
Galway,ATHENRY,9.854812517906415
Mayo,BELMULLET,10.455915416548802
Cavan,BALLYHAISE,9.318734485964514
Dublin,CASEMENT,9.816052992439907
Cork,SherkinIsland,11.099994574189585
Kerry,VALENTIA OBSERVATORY,11.103128733401466
Dublin,PHOENIX PARK,9.943011976213437
Carlow,OAK PARK,9.937975749906926
Cork,ROCHES POINT,10.10193324106841
Clare,SHANNON AIRPORT,10.679028720445379
Cork,MOORE PARK,10.08545329549676
Westmeath,MULLINGAR,9.356596751419001
Donegal,MALIN HEAD,9.977856884401913
Mayo,NEWPORT,10.177957166096617
Sligo,MARKREE,9.33081618850262
Roscommon,MT DILLON,9.38962646209434
Mayo,KNOCK AIRPORT,8.637894500136866
Galway,MACE HEAD,10.691846410020839
Dublin,DUBLIN AIRPORT,9.750997875681346
Donegal,FINNER,10.16965692196555
Wexford,JOHNSTOWNII,10.219967197558326
Meath,DUNSANY,9.417105829729373
Tipperary,GURTEEN,9.54253626116581
